"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1865828627985924502","Sun Dec 08 18:39:44 +0000 2024","0","gacoan maaf banget siang tadi temen ku jastip gacoan sampai dengan selamat sih tapi cukup disayangkan box nya kotor sama bumbu mie nya yang nempel di luaran box.. dari lima box gacoan yang di order semuanya kotor n jadi lengket..","1865828627985924502","","","in","","0","0","0","https://x.com/onlyapper/status/1865828627985924502","1801277229722456064","onlyapper"
"1865821775101350177","Sun Dec 08 18:12:31 +0000 2024","0","Save lagi makan mie gacoan ya? Itu depannya keranjang udang keju YOUR SKY EPISODE4 #YourSkySeriesEP4","1865821775101350177","","","in","loving dmd & gmm boys ♡⁠˖","0","1","0","https://x.com/saveteekr/status/1865821775101350177","2852112444","saveteekr"
"1865821596759589211","Sun Dec 08 18:11:48 +0000 2024","0","hari ini nemenin temenku narik shopeefood it was fun ketemu banyak orang jir tapi ngeselin kalo dapet mie gacoan (lama sialan) https://t.co/hi4bblYLwf","1865821596759589211","https://pbs.twimg.com/media/GeS62qOboAAD-5z.jpg","","in","","0","0","0","https://x.com/almamaref/status/1865821596759589211","1270724888928505857","almamaref"
"1865790820558983334","Sun Dec 08 17:53:55 +0000 2024","0","@Chojuwniewyb Kakkkk malah ada yg sempet gendong di leher gitu tadiii ","1865817095390527555","","Chojuwniewyb","in","","0","1","0","https://x.com/oingoingmong/status/1865817095390527555","1597652632218529793","oingoingmong"
"1865813733492342980","Sun Dec 08 17:40:33 +0000 2024","0","Indomie dan mie gacoan doang","1865813733492342980","","","in","","0","0","0","https://x.com/heehoonlife/status/1865813733492342980","1724795047823179776","heehoonlife"
"1865811719815413982","Sun Dec 08 17:32:33 +0000 2024","0","Inget gak yang tadi neriakin nama kalian di back stage? Itu gua nia sama anita yaaa wkwkwk","1865811719815413982","","","in","","0","0","0","https://x.com/oingoingmong/status/1865811719815413982","1597652632218529793","oingoingmong"
"1865811341635956839","Sun Dec 08 17:31:03 +0000 2024","0","Lost and Found!!! Kalo ada yang nemu kabel charger anker di sekitaran jalan yg sampung main stage atau pas pintu keluar tolong kabarin dongggg belom ada 2 minggu ini PB #MotionImeFestival2024 https://t.co/SS0n48ForI","1865811341635956839","https://pbs.twimg.com/media/GeSxhaua0AAuXEf.jpg","","in","","0","0","0","https://x.com/oingoingmong/status/1865811341635956839","1597652632218529793","oingoingmong"
"1865789588666740776","Sun Dec 08 16:04:37 +0000 2024","0","beli mie gacoan jam 8 bru mau dimakan ini hehe","1865789588666740776","","","in","🏳️‍🌈","0","0","0","https://x.com/ccarljea/status/1865789588666740776","1755583496419254272","ccarljea"
"1865789050071973985","Sun Dec 08 16:02:28 +0000 2024","0","bakpao di mie gacoan gimana ya rasanya penasaran","1865789050071973985","","","in"," they/he","0","0","0","https://x.com/alchemislt/status/1865789050071973985","1777305820830855168","alchemislt"
"1865777208880746643","Sun Dec 08 15:52:20 +0000 2024","0","@ayaversibaik gue makan mie gacoan udah hampir 2 minggu bjirr unhealthy life bgtt","1865786497779322965","","ayaversibaik","in","","0","1","0","https://x.com/RanggaS09920060/status/1865786497779322965","1644360074390028288","RanggaS09920060"
